year,cause_name,state,deaths,age_adjusted_death_rate
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Massachusetts,1303,19.6
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Michigan,3188,32.8
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Minnesota,1772,35.8
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Mississippi,1642,58.9
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Missouri,2465,43.2
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Montana,461,50.3
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Nebraska,668,37.3
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Nevada,710,38.5
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",New Hampshire,329,27.5
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",New Jersey,2227,26.2
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",New Mexico,969,55.9
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",New York,4797,25.2
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",North Carolina,3290,42.1
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",North Dakota,267,38.4
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Ohio,3630,31.8
2003,All Causes,Colorado,29506,792
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Oklahoma,1609,46.3
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Oregon,1199,34.7
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Pennsylvania,4614,35.3
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Rhode Island,243,21.5
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",South Carolina,1901,49.2
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",South Dakota,351,44.8
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Tennessee,2677,47.8
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Texas,7227,37.6
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Utah,650,33.4
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Vermont,209,34.2
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Virginia,2214,33.2
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Washington,1914,33.3
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",West Virginia,798,42
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Wisconsin,1955,35.6
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Wyoming,258,52.8
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Alabama,2093,47
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Alaska,343,64.5
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Arizona,2326,46.3
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Arkansas,1267,46.5
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",California,8577,26.5
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Colorado,1702,42.6
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Connecticut,1175,32.8
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Delaware,290,37.5
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",District of Columbia,204,35.7
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Florida,6267,37.3
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Georgia,3103,40.8
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Hawaii,343,28.2
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Idaho,518,41.5
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Illinois,4041,32.8
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Indiana,2139,35.4
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Iowa,1070,33.4
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Kansas,1054,38
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Kentucky,1838,45.7
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Louisiana,2006,45.9
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Maine,407,30.9
2005,All Causes,Vermont,5066,751.6
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Maryland,1182,23.3
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Massachusetts,1357,20.2
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Michigan,3220,32.9
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Minnesota,1711,34.3
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Mississippi,1653,58.9
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Missouri,2398,41.9
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Montana,495,53.9
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Nebraska,640,35.3
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Nevada,730,38.7
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",New Hampshire,321,26.3
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",New Jersey,2284,26.7
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",New Mexico,995,56.8
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",New York,4244,22
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",North Carolina,3525,44.7
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",North Dakota,248,35.3
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Ohio,3492,30.5
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Oklahoma,1566,44.9
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Oregon,1248,35.8
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Pennsylvania,4583,35.2
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Rhode Island,235,20.5
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",South Carolina,1974,50
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",South Dakota,321,41.2
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Tennessee,2743,48.5
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Texas,7407,37.6
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Utah,665,34.2
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Vermont,234,38.1
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Virginia,2396,35.4
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Washington,2049,35.5
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",West Virginia,817,43.2
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Wisconsin,2159,38.9
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Wyoming,245,50.8
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Alabama,2211,49.5
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Alaska,345,60.5
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Arizona,2475,47.6
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Arkansas,1277,46.5
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",California,8132,24.5
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Colorado,1720,41.6
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Connecticut,1056,29.5
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Delaware,290,36.6
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",District of Columbia,223,38.4
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Florida,6969,40.5
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Georgia,3396,43.8
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Hawaii,372,29.8
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Idaho,568,44.2
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Illinois,4077,32.8
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Indiana,2185,35.8
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Iowa,1051,32.5
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Kansas,1156,41.4
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Kentucky,1990,49.1
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Louisiana,2029,46.5
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Maine,490,36.3
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Maryland,1339,25.8
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Massachusetts,1506,22.2
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Michigan,3291,33.3
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Minnesota,1797,35.4
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Mississippi,1571,56
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Missouri,2455,42.5
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Montana,468,50.1
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Nebraska,633,34.8
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Nevada,739,37
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",New Hampshire,374,30.3
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",New Jersey,2405,27.8
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",New Mexico,1020,57.7
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",New York,4982,25.7
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",North Carolina,3438,42.6
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",North Dakota,238,33.9
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Ohio,3857,33.4
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Oklahoma,1700,48.5
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Oregon,1313,36.9
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Pennsylvania,4552,34.6
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Rhode Island,293,25.3
2006,All Causes,Texas,157150,807.7
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",South Carolina,1960,49
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",South Dakota,382,47.3
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Tennessee,2709,47.3
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Texas,7920,39.7
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Utah,643,32.5
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Vermont,230,36.8
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Virginia,2432,35.2
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Washington,2072,35.2
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",West Virginia,834,44.7
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Wisconsin,2100,37.5
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Wyoming,272,55.5
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Alabama,2228,49.6
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Alaska,346,59.2
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Arizona,2577,48.6
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Arkansas,1311,47.6
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",California,10107,30.1
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Colorado,1812,43.1
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Connecticut,1182,32.5
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Delaware,292,36.4
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",District of Columbia,200,34.6
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Florida,7396,42
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Georgia,3333,42.3
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Hawaii,393,30.9
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Idaho,611,47.1
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Illinois,4222,33.8
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Indiana,2148,34.9
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Iowa,1093,33.6
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Kansas,1139,40.8
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Kentucky,2090,51.3
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Louisiana,2115,48.1
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Maine,511,38.1
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Maryland,1332,25.2
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Massachusetts,1413,20.7
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Michigan,3285,33
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Minnesota,1928,37.6
2010,All Causes,Nevada,19623,795.4
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Mississippi,1642,58.5
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Missouri,2641,45.6
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Montana,524,55.6
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Nebraska,762,41.7
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Nevada,860,41.7
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",New Hampshire,357,28.5
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",New Jersey,2599,29.8
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",New Mexico,1105,61.4
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",New York,4663,23.9
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",North Carolina,3700,45.3
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",North Dakota,246,35.1
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Ohio,4146,35.8
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Oklahoma,1580,44.9
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Oregon,1397,38.4
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Pennsylvania,4728,35.9
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Rhode Island,277,23.4
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",South Carolina,1972,48.7
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",South Dakota,348,43.5
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Tennessee,2744,47.7
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Texas,8232,40.4
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Utah,714,35.8
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Vermont,240,37.8
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Virginia,2479,35.2
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Washington,2203,36.8
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",West Virginia,956,50.9
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Wisconsin,2274,40.1
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Wyoming,289,58.1
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Alabama,2179,48.3
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Alaska,321,55.4
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Arizona,2697,49.8
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Arkansas,1304,46.9
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",California,10471,30.7
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Colorado,1806,42.4
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Connecticut,1112,30.2
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Delaware,287,34.9
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",District of Columbia,233,40.8
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Florida,7919,44.2
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Georgia,3528,44.2
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Hawaii,415,31.9
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Idaho,605,45.6
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Illinois,3942,31.5
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Indiana,2196,35.4
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Iowa,1164,35.4
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Kansas,1089,38.6
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Kentucky,2270,55.2
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Louisiana,2208,49.8
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Maine,516,38
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Maryland,1432,26.7
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Massachusetts,1421,20.7
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Michigan,3324,33
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Minnesota,1912,36.7
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Mississippi,1656,58.8
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Missouri,2786,47.6
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Montana,518,54.8
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Nebraska,696,38
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Nevada,911,41.9
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",New Hampshire,405,31.5
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",New Jersey,2371,27
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",New Mexico,1227,67.3
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",New York,4708,23.9
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",North Carolina,3835,46.3
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",North Dakota,282,39.9
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Ohio,3757,32.2
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Oklahoma,1748,49.9
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Oregon,1401,38.2
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Pennsylvania,5014,37.9
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Rhode Island,393,33.9
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",South Carolina,1941,47.5
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",South Dakota,406,50.5
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Tennessee,3004,51.8
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Texas,8425,40.8
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Utah,702,34.7
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Vermont,235,36.3
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Virginia,2644,37
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Washington,2239,36.9
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",West Virginia,1004,53.7
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Wisconsin,2345,41
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Wyoming,273,55.1
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Alabama,2403,53
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Alaska,326,56
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Arizona,2770,49.3
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Arkansas,1406,50.6
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",California,10633,30.8
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Colorado,1810,42.1
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Connecticut,1261,34
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Delaware,294,35.4
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",District of Columbia,219,38.4
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Florida,8229,44.7
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Georgia,3667,45
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Hawaii,390,29.6
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Idaho,593,43.6
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Illinois,4133,32.8
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Indiana,2395,38.4
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Iowa,1108,33.4
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Kansas,1144,40.6
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Kentucky,2260,54.8
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Louisiana,2300,51.4
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Maine,480,35.5
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Maryland,1412,26
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Massachusetts,1366,19.9
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Michigan,3312,32.8
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Minnesota,1867,35.5
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Mississippi,1703,59.9
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Missouri,2728,46.4
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Montana,535,55.3
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Nebraska,743,39.7
2011,All Causes,Missouri,55848,812
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Nevada,1021,45.2
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",New Hampshire,445,34.3
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",New Jersey,2324,26.3
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",New Mexico,1223,66
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",New York,4530,22.9
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",North Carolina,4019,47.7
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",North Dakota,274,38.1
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Ohio,4234,36.1
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Oklahoma,1947,55
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Oregon,1444,38.9
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Pennsylvania,5200,39.1
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Rhode Island,298,24.8
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",South Carolina,2094,50.1
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",South Dakota,416,50.9
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Tennessee,3156,53.6
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Texas,8323,39.7
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Utah,697,33.4
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Vermont,253,39.4
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Virginia,2630,36.2
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Washington,2341,37.9
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",West Virginia,1110,59
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Wisconsin,2303,39.7
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Wyoming,243,47.2
2005,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Alabama,2395,51.9
2005,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Alaska,313,50.8
