year,state,n_cause_name,deaths,age_adjusted_death_rate
1999,Connecticut,Malignant neoplasms (C00-C97),7054,191
1999,Connecticut,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",457,12.1
1999,Connecticut,Parkinson's disease (G20-G21),181,4.7
1999,Connecticut,Pneumonitis due to solids and liquids (J69),342,8.8
1999,Connecticut,Septicemia (A40-A41),490,12.9
1999,Delaware,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",267,35.3
1999,Delaware,All Causes,6666,881.6
1999,Delaware,Alzheimer's disease (G30),107,15
1999,Delaware,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",24,3
1999,Delaware,Cerebrovascular diseases (I60-I69),365,49.4
1999,Delaware,"Chronic liver disease and cirrhosis (K70,K73-K74)",68,8.7
1999,Delaware,Chronic lower respiratory diseases (J40-J47),327,42.7
1999,Delaware,Diabetes mellitus (E10-E14),179,23.5
1999,Delaware,"Diseases of heart (I00-I09,I11,I13,I20-I51)",2011,269.2
1999,Delaware,"Essential hypertension and hypertensive renal disease (I10,I12,I15)",29,3.9
1999,Delaware,Influenza and pneumonia (J09-J18),155,21.3
1999,Delaware,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",86,11
1999,Delaware,Malignant neoplasms (C00-C97),1737,223.3
1999,Delaware,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",100,13.4
1999,Delaware,Parkinson's disease (G20-G21),40,5.3
1999,Delaware,Pneumonitis due to solids and liquids (J69),71,9.9
1999,Delaware,Septicemia (A40-A41),103,13.9
1999,District of Columbia,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",161,28.4
1999,District of Columbia,All Causes,6076,1087.3
1999,District of Columbia,Alzheimer's disease (G30),53,9.5
1999,District of Columbia,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",186,29.6
1999,District of Columbia,Cerebrovascular diseases (I60-I69),297,53.3
1999,District of Columbia,"Chronic liver disease and cirrhosis (K70,K73-K74)",57,10.3
1999,District of Columbia,Chronic lower respiratory diseases (J40-J47),166,29.9
1999,District of Columbia,Diabetes mellitus (E10-E14),221,39.6
1999,District of Columbia,"Diseases of heart (I00-I09,I11,I13,I20-I51)",1652,296.2
1999,District of Columbia,"Essential hypertension and hypertensive renal disease (I10,I12,I15)",55,9.9
1999,District of Columbia,Influenza and pneumonia (J09-J18),116,20.6
1999,District of Columbia,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",30,5.1
1999,District of Columbia,Malignant neoplasms (C00-C97),1340,241.4
1999,District of Columbia,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",91,16.4
1999,District of Columbia,Parkinson's disease (G20-G21),22,3.9
1999,District of Columbia,Pneumonitis due to solids and liquids (J69),39,7
1999,District of Columbia,Septicemia (A40-A41),138,24.8
1999,Florida,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",5961,35.7
1999,Florida,All Causes,163224,812.8
1999,Florida,Alzheimer's disease (G30),3059,14.3
1999,Florida,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",964,6.3
1999,Florida,Cerebrovascular diseases (I60-I69),10560,50.5
1999,Florida,"Chronic liver disease and cirrhosis (K70,K73-K74)",1972,11
1999,Florida,Chronic lower respiratory diseases (J40-J47),9131,43.1
1999,Florida,Diabetes mellitus (E10-E14),4357,21.5
1999,Florida,"Diseases of heart (I00-I09,I11,I13,I20-I51)",51434,247.7
1999,Florida,"Essential hypertension and hypertensive renal disease (I10,I12,I15)",1177,5.7
1999,Florida,Influenza and pneumonia (J09-J18),3328,16.1
1999,Florida,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",2029,12.2
1999,Florida,Malignant neoplasms (C00-C97),38478,190.6
1999,Florida,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",1846,8.9
1999,Florida,Parkinson's disease (G20-G21),1112,5.1
1999,Florida,Pneumonitis due to solids and liquids (J69),990,4.7
1999,Florida,Septicemia (A40-A41),1498,7.3
1999,Georgia,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",3078,41.5
1999,Georgia,All Causes,62028,964.9
1999,Georgia,Alzheimer's disease (G30),1080,18.8
1999,Georgia,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",634,7.5
1999,Georgia,Cerebrovascular diseases (I60-I69),4416,72.3
1999,Georgia,"Chronic liver disease and cirrhosis (K70,K73-K74)",627,8.8
1999,Georgia,Chronic lower respiratory diseases (J40-J47),3056,49.1
1999,Georgia,Diabetes mellitus (E10-E14),1448,22.6
1999,Georgia,"Diseases of heart (I00-I09,I11,I13,I20-I51)",17597,282.8
1999,Georgia,"Essential hypertension and hypertensive renal disease (I10,I12,I15)",573,9.1
1999,Georgia,Influenza and pneumonia (J09-J18),1703,28.3
1999,Georgia,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",873,11.2
1999,Georgia,Malignant neoplasms (C00-C97),13225,202.3
1999,Georgia,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",1142,18.3
1999,Georgia,Parkinson's disease (G20-G21),274,4.6
1999,Georgia,Pneumonitis due to solids and liquids (J69),446,7.6
1999,Georgia,Septicemia (A40-A41),1137,18.2
1999,Hawaii,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",293,24.3
1999,Hawaii,All Causes,8270,688.8
1999,Hawaii,Alzheimer's disease (G30),109,9.4
1999,Hawaii,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",38,3.1
1999,Hawaii,Cerebrovascular diseases (I60-I69),762,64.2
1999,Hawaii,"Chronic liver disease and cirrhosis (K70,K73-K74)",70,5.6
1999,Hawaii,Chronic lower respiratory diseases (J40-J47),290,24
1999,Hawaii,Diabetes mellitus (E10-E14),211,17.3
1999,Hawaii,"Diseases of heart (I00-I09,I11,I13,I20-I51)",2410,201.7
1999,Hawaii,"Essential hypertension and hypertensive renal disease (I10,I12,I15)",80,6.7
1999,Hawaii,Influenza and pneumonia (J09-J18),229,19.6
1999,Hawaii,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",136,11.1
1999,Hawaii,Malignant neoplasms (C00-C97),1916,156.6
1999,Hawaii,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",133,11.1
1999,Hawaii,Parkinson's disease (G20-G21),73,6.2
1999,Hawaii,Pneumonitis due to solids and liquids (J69),80,6.8
1999,Hawaii,Septicemia (A40-A41),167,14
1999,Idaho,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",597,48.3
1999,Idaho,All Causes,9579,825.2
1999,Idaho,Alzheimer's disease (G30),243,21.4
1999,Idaho,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",31,2.4
1999,Idaho,Cerebrovascular diseases (I60-I69),771,67.5
1999,Idaho,"Chronic liver disease and cirrhosis (K70,K73-K74)",88,7.5
1999,Idaho,Chronic lower respiratory diseases (J40-J47),568,49.5
1999,Idaho,Diabetes mellitus (E10-E14),267,23.1
1999,Idaho,"Diseases of heart (I00-I09,I11,I13,I20-I51)",2532,220.5
1999,Idaho,"Essential hypertension and hypertensive renal disease (I10,I12,I15)",51,4.4
1999,Idaho,Influenza and pneumonia (J09-J18),289,25.3
1999,Idaho,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",181,14.8
1999,Idaho,Malignant neoplasms (C00-C97),2162,186.4
1999,Idaho,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",99,8.6
1999,Idaho,Parkinson's disease (G20-G21),66,5.8
1999,Idaho,Pneumonitis due to solids and liquids (J69),59,5.2
1999,Idaho,Septicemia (A40-A41),67,5.8
1999,Illinois,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",4125,33.7
1999,Illinois,All Causes,108436,905.1
1999,Illinois,Alzheimer's disease (G30),1908,15.9
1999,Illinois,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",1023,8.1
1999,Illinois,Cerebrovascular diseases (I60-I69),7714,64.4
1999,Illinois,"Chronic liver disease and cirrhosis (K70,K73-K74)",1095,9.2
1999,Illinois,Chronic lower respiratory diseases (J40-J47),5155,43.2
1999,Illinois,Diabetes mellitus (E10-E14),3004,25.2
1999,Illinois,"Diseases of heart (I00-I09,I11,I13,I20-I51)",33387,279.1
1999,Illinois,"Essential hypertension and hypertensive renal disease (I10,I12,I15)",734,6.1
1999,Illinois,Influenza and pneumonia (J09-J18),3121,25.9
1999,Illinois,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",1020,8.3
1999,Illinois,Malignant neoplasms (C00-C97),25024,210.4
1999,Illinois,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",1965,16.4
1999,Illinois,Parkinson's disease (G20-G21),700,5.9
1999,Illinois,Pneumonitis due to solids and liquids (J69),827,6.9
1999,Illinois,Septicemia (A40-A41),1826,15.3
1999,Indiana,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",2309,38.4
1999,Indiana,All Causes,55303,934.7
1999,Indiana,Alzheimer's disease (G30),1106,18.9
1999,Indiana,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",386,6.3
1999,Indiana,Cerebrovascular diseases (I60-I69),4057,69
1999,Indiana,"Chronic liver disease and cirrhosis (K70,K73-K74)",444,7.5
1999,Indiana,Chronic lower respiratory diseases (J40-J47),3053,51.6
1999,Indiana,Diabetes mellitus (E10-E14),1591,26.9
1999,Indiana,"Diseases of heart (I00-I09,I11,I13,I20-I51)",16661,282.5
1999,Indiana,"Essential hypertension and hypertensive renal disease (I10,I12,I15)",334,5.7
1999,Indiana,Influenza and pneumonia (J09-J18),1362,23.2
1999,Indiana,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",628,10.4
1999,Indiana,Malignant neoplasms (C00-C97),12898,217.4
1999,Indiana,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",1022,17.3
1999,Indiana,Parkinson's disease (G20-G21),335,5.7
1999,Indiana,Pneumonitis due to solids and liquids (J69),311,5.3
1999,Indiana,Septicemia (A40-A41),795,13.5
1999,Iowa,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",1123,35.2
1999,Iowa,All Causes,28411,806.4
1999,Iowa,Alzheimer's disease (G30),706,18.2
1999,Iowa,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",53,1.8
1999,Iowa,Cerebrovascular diseases (I60-I69),2317,62.1
1999,Iowa,"Chronic liver disease and cirrhosis (K70,K73-K74)",209,6.7
1999,Iowa,Chronic lower respiratory diseases (J40-J47),1643,46.8
1999,Iowa,Diabetes mellitus (E10-E14),684,19.7
1999,Iowa,"Diseases of heart (I00-I09,I11,I13,I20-I51)",8699,240.3
1999,Iowa,"Essential hypertension and hypertensive renal disease (I10,I12,I15)",176,4.6
1999,Iowa,Influenza and pneumonia (J09-J18),1082,28.4
1999,Iowa,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",305,10.3
1999,Iowa,Malignant neoplasms (C00-C97),6346,189.1
1999,Iowa,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",226,6.4
1999,Iowa,Parkinson's disease (G20-G21),199,5.4
1999,Iowa,Pneumonitis due to solids and liquids (J69),221,5.8
1999,Iowa,Septicemia (A40-A41),248,7
1999,Kansas,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",1126,40.7
1999,Kansas,All Causes,24472,848.1
1999,Kansas,Alzheimer's disease (G30),511,16.6
1999,Kansas,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",137,5.1
1999,Kansas,Cerebrovascular diseases (I60-I69),1841,61.6
1999,Kansas,"Chronic liver disease and cirrhosis (K70,K73-K74)",188,7.1
1999,Kansas,Chronic lower respiratory diseases (J40-J47),1386,48.7
1999,Kansas,Diabetes mellitus (E10-E14),650,23
1999,Kansas,"Diseases of heart (I00-I09,I11,I13,I20-I51)",6975,237
1999,Kansas,"Essential hypertension and hypertensive renal disease (I10,I12,I15)",160,5.4
1999,Kansas,Influenza and pneumonia (J09-J18),676,22.2
1999,Kansas,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",299,11.2
1999,Kansas,Malignant neoplasms (C00-C97),5334,192.4
1999,Kansas,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",390,13.2
1999,Kansas,Parkinson's disease (G20-G21),171,5.7
1999,Kansas,Pneumonitis due to solids and liquids (J69),176,5.8
1999,Kansas,Septicemia (A40-A41),268,9.3
1999,Kentucky,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",1730,43.3
1999,Kentucky,All Causes,39321,1004.1
1999,Kentucky,Alzheimer's disease (G30),728,19.3
1999,Kentucky,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",210,5.1
1999,Kentucky,Cerebrovascular diseases (I60-I69),2710,70.4
1999,Kentucky,"Chronic liver disease and cirrhosis (K70,K73-K74)",386,9.6
1999,Kentucky,Chronic lower respiratory diseases (J40-J47),2327,59
1999,Kentucky,Diabetes mellitus (E10-E14),1133,28.8
1999,Kentucky,"Diseases of heart (I00-I09,I11,I13,I20-I51)",12098,310.9
1999,Kentucky,"Essential hypertension and hypertensive renal disease (I10,I12,I15)",200,5.2
1999,Kentucky,Influenza and pneumonia (J09-J18),1198,31.3
1999,Kentucky,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",470,11.6
1999,Kentucky,Malignant neoplasms (C00-C97),8925,224.2
1999,Kentucky,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",685,17.7
1999,Kentucky,Parkinson's disease (G20-G21),180,4.7
1999,Kentucky,Pneumonitis due to solids and liquids (J69),296,7.8
1999,Kentucky,Septicemia (A40-A41),571,14.7
1999,Louisiana,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",1940,44.7
1999,Louisiana,All Causes,41238,1021.6
1999,Louisiana,Alzheimer's disease (G30),683,17.9
1999,Louisiana,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",484,10.7
1999,Louisiana,Cerebrovascular diseases (I60-I69),2684,68.3
1999,Louisiana,"Chronic liver disease and cirrhosis (K70,K73-K74)",392,9.4
1999,Louisiana,Chronic lower respiratory diseases (J40-J47),1610,40.2
1999,Louisiana,Diabetes mellitus (E10-E14),1687,41.8
1999,Louisiana,"Diseases of heart (I00-I09,I11,I13,I20-I51)",12007,302.3
1999,Louisiana,"Essential hypertension and hypertensive renal disease (I10,I12,I15)",277,7.1
1999,Louisiana,Influenza and pneumonia (J09-J18),1008,26
1999,Louisiana,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",518,11.9
1999,Louisiana,Malignant neoplasms (C00-C97),9412,230.5
1999,Louisiana,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",911,22.9
1999,Louisiana,Parkinson's disease (G20-G21),211,5.4
1999,Louisiana,Pneumonitis due to solids and liquids (J69),211,5.4
1999,Louisiana,Septicemia (A40-A41),708,17.9
1999,Maine,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",458,34.9
1999,Maine,All Causes,12261,865.9
1999,Maine,Alzheimer's disease (G30),429,29.6
1999,Maine,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",25,2
1999,Maine,Cerebrovascular diseases (I60-I69),879,61.2
1999,Maine,"Chronic liver disease and cirrhosis (K70,K73-K74)",128,9.1
1999,Maine,Chronic lower respiratory diseases (J40-J47),751,52.6
1999,Maine,Diabetes mellitus (E10-E14),348,24.5
1999,Maine,"Diseases of heart (I00-I09,I11,I13,I20-I51)",3418,238.7
1999,Maine,"Essential hypertension and hypertensive renal disease (I10,I12,I15)",73,5.1
1999,Maine,Influenza and pneumonia (J09-J18),287,19.9
1999,Maine,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",175,13.4
1999,Maine,Malignant neoplasms (C00-C97),3035,214.6
1999,Maine,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",191,13.4
1999,Maine,Parkinson's disease (G20-G21),85,5.9
1999,Maine,Pneumonitis due to solids and liquids (J69),74,5.2
1999,Maine,Septicemia (A40-A41),116,8.1
1999,Maryland,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",1296,25.9
1999,Maryland,All Causes,43089,907
1999,Maryland,Alzheimer's disease (G30),681,15.4
1999,Maryland,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",531,10.2
1999,Maryland,Cerebrovascular diseases (I60-I69),2892,63.3
1999,Maryland,"Chronic liver disease and cirrhosis (K70,K73-K74)",481,9.4
1999,Maryland,Chronic lower respiratory diseases (J40-J47),1943,41.6
1999,Maryland,Diabetes mellitus (E10-E14),1422,29.8
1999,Maryland,"Diseases of heart (I00-I09,I11,I13,I20-I51)",12080,259.2
1999,Maryland,"Essential hypertension and hypertensive renal disease (I10,I12,I15)",316,6.8
1999,Maryland,Influenza and pneumonia (J09-J18),1140,25.2
1999,Maryland,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",435,8.3
1999,Maryland,Malignant neoplasms (C00-C97),10143,209.5
1999,Maryland,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",563,12
1999,Maryland,Parkinson's disease (G20-G21),261,5.8
1999,Maryland,Pneumonitis due to solids and liquids (J69),415,9.1
1999,Maryland,Septicemia (A40-A41),978,21
1999,Massachusetts,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",1303,19.6
1999,Massachusetts,All Causes,55840,814.1
1999,Massachusetts,Alzheimer's disease (G30),1182,16.5
1999,Massachusetts,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",133,2.1
1999,Massachusetts,Cerebrovascular diseases (I60-I69),3548,50.4
1999,Massachusetts,"Chronic liver disease and cirrhosis (K70,K73-K74)",590,9.1
1999,Massachusetts,Chronic lower respiratory diseases (J40-J47),2862,41.6
1999,Massachusetts,Diabetes mellitus (E10-E14),1354,19.9
1999,Massachusetts,"Diseases of heart (I00-I09,I11,I13,I20-I51)",15871,228.5
1999,Massachusetts,"Essential hypertension and hypertensive renal disease (I10,I12,I15)",374,5.3
1999,Massachusetts,Influenza and pneumonia (J09-J18),1904,26.8
1999,Massachusetts,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",431,6.7
1999,Massachusetts,Malignant neoplasms (C00-C97),13853,206.4
1999,Massachusetts,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",1127,16.2
1999,Massachusetts,Parkinson's disease (G20-G21),422,6
1999,Massachusetts,Pneumonitis due to solids and liquids (J69),471,6.6
1999,Massachusetts,Septicemia (A40-A41),885,12.9
1999,Michigan,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",3188,32.8
1999,Michigan,All Causes,87232,916.4
1999,Michigan,Alzheimer's disease (G30),1431,15.4
1999,Michigan,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",759,7.7
1999,Michigan,Cerebrovascular diseases (I60-I69),6041,64.3
1999,Michigan,"Chronic liver disease and cirrhosis (K70,K73-K74)",1029,10.6
1999,Michigan,Chronic lower respiratory diseases (J40-J47),4316,45.3
1999,Michigan,Diabetes mellitus (E10-E14),2587,27.1
1999,Michigan,"Diseases of heart (I00-I09,I11,I13,I20-I51)",27693,292.9
1999,Michigan,"Essential hypertension and hypertensive renal disease (I10,I12,I15)",601,6.4
1999,Michigan,Influenza and pneumonia (J09-J18),2307,24.7
