113 Cause Name,Cause Name,State,Age-adjusted Death Rate,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Accidents ,Unintentional Injuries,Connecticut,33.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1339,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Connecticut,33.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1337,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Connecticut,34,NA,NA,NA,NA,NA,1261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Connecticut,34.6,NA,NA,NA,NA,NA,NA,NA,1302,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Connecticut,34.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1392,NA,NA,NA
Accidents ,Unintentional Injuries,Connecticut,35.4,NA,NA,NA,NA,NA,NA,NA,NA,1343,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Connecticut,35.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1386,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Connecticut,39.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1582,NA,NA
Accidents ,Unintentional Injuries,Connecticut,40.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1641,NA
Accidents ,Unintentional Injuries,Connecticut,44.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1799
Accidents ,Unintentional Injuries,Delaware,34.5,NA,NA,NA,NA,NA,NA,293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Delaware,34.8,NA,NA,NA,NA,NA,NA,NA,NA,309,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Delaware,34.9,NA,NA,NA,NA,287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Delaware,35.3,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Delaware,35.4,NA,NA,NA,NA,NA,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Delaware,36.4,NA,NA,NA,292,NA,NA,NA,NA,NA,NA,NA,NA,338,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Delaware,36.6,NA,NA,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Delaware,36.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,333,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Delaware,37.5,NA,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Delaware,38,NA,NA,NA,NA,NA,NA,NA,329,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Delaware,38.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,NA,NA,NA
Accidents ,Unintentional Injuries,Delaware,39.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Delaware,39.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,352,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Delaware,42.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412,NA,NA
Accidents ,Unintentional Injuries,Delaware,43.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,425,NA
Accidents ,Unintentional Injuries,Delaware,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449
Accidents ,Unintentional Injuries,District of Columbia,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,District of Columbia,27.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,District of Columbia,28.4,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,District of Columbia,29.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,NA,NA,NA,NA
Accidents ,Unintentional Injuries,District of Columbia,31.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194,NA,NA,NA
Accidents ,Unintentional Injuries,District of Columbia,33.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217,NA
Accidents ,Unintentional Injuries,District of Columbia,33.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216,NA,NA
Accidents ,Unintentional Injuries,District of Columbia,33.7,NA,NA,NA,NA,NA,NA,NA,NA,193,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,District of Columbia,34.6,NA,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,District of Columbia,35.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,District of Columbia,35.7,NA,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,District of Columbia,35.8,NA,NA,NA,NA,NA,NA,207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,District of Columbia,38.4,NA,NA,223,NA,NA,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,District of Columbia,39.4,NA,NA,NA,NA,NA,NA,NA,224,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,District of Columbia,40.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265
Accidents ,Unintentional Injuries,District of Columbia,40.8,NA,NA,NA,NA,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Florida,35.7,5961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Florida,37.3,NA,6267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Florida,39.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8736,NA,NA
Accidents ,Unintentional Injuries,Florida,39.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8770,NA,NA,NA
Accidents ,Unintentional Injuries,Florida,40.5,NA,NA,6969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Florida,41.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9432,NA
Accidents ,Unintentional Injuries,Florida,42,NA,NA,NA,7396,NA,NA,NA,NA,NA,NA,NA,NA,8901,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Florida,43.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8875,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Florida,43.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8746,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Florida,44.2,NA,NA,NA,NA,7919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Florida,44.7,NA,NA,NA,NA,NA,8229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Florida,45.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,8939,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Florida,46.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10578
Accidents ,Unintentional Injuries,Florida,46.5,NA,NA,NA,NA,NA,NA,NA,8917,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Florida,46.9,NA,NA,NA,NA,NA,NA,NA,NA,9113,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Florida,47.1,NA,NA,NA,NA,NA,NA,8868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Georgia,38.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3727,NA,NA
Accidents ,Unintentional Injuries,Georgia,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3731,NA,NA,NA
Accidents ,Unintentional Injuries,Georgia,40.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3963,NA
Accidents ,Unintentional Injuries,Georgia,40.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3785,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Georgia,40.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3745,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Georgia,40.8,NA,3103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Georgia,41.5,3078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Georgia,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,3774,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Georgia,42.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3812,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Georgia,42.3,NA,NA,NA,3333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Georgia,43.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4344
Accidents ,Unintentional Injuries,Georgia,43.8,NA,NA,3396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Georgia,44.2,NA,NA,NA,NA,3528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Georgia,45,NA,NA,NA,NA,NA,3667,3762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Georgia,45.1,NA,NA,NA,NA,NA,NA,NA,3879,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Georgia,45.4,NA,NA,NA,NA,NA,NA,NA,NA,4012,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Hawaii,24.3,293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Hawaii,28.2,NA,343,NA,NA,NA,NA,NA,NA,NA,406,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Hawaii,29.6,NA,NA,NA,NA,NA,390,NA,NA,NA,NA,NA,432,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Hawaii,29.8,NA,NA,372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Hawaii,30.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,458,467,476,NA
Accidents ,Unintentional Injuries,Hawaii,30.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,436,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Hawaii,30.9,NA,NA,NA,393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Hawaii,31.7,NA,NA,NA,NA,NA,NA,NA,441,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Hawaii,31.9,NA,NA,NA,NA,415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Hawaii,32,NA,NA,NA,NA,NA,NA,436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
